circRNA,disease,mean_importance,std_importance,n_explanations,rank
circkdm4c,breast neoplasms,0.2442265883088112,0.1432682781760278,20,159
circkif4a,glioma,0.2442265883088112,0.1432682781760278,20,160
circkif4a,triple negative breast neoplasms,0.2442265883088112,0.1432682781760278,20,161
circlarp4,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,162
circlarp4,ovarian neoplasms,0.2442265883088112,0.1432682781760278,20,163
circlmtk2,prostatic neoplasms,0.2442265883088112,0.1432682781760278,20,164
circlpar1,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,165
circman2b2,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,166
circman2b2,glioma,0.2442265883088112,0.1432682781760278,20,167
circman2b2,lung neoplasms,0.2442265883088112,0.1432682781760278,20,168
circmat2b,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,169
circmllt10,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,170
circmto1,"carcinoma, renal cell",0.2442265883088112,0.1432682781760278,20,171
circmto1,glioblastoma,0.2442265883088112,0.1432682781760278,20,172
circmto1,prostatic neoplasms,0.2442265883088112,0.1432682781760278,20,173
circmto1,rectal neoplasms,0.2442265883088112,0.1432682781760278,20,174
circmto1,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,175
circmto1,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,176
circmto1,uterine cervical neoplasms,0.2442265883088112,0.1432682781760278,20,177
circmyc,melanoma,0.2442265883088112,0.1432682781760278,20,178
circmylk,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,179
circmylk,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,180
circmyo9b,breast neoplasms,0.2442265883088112,0.1432682781760278,20,181
circnasp,osteosarcoma,0.2442265883088112,0.1432682781760278,20,182
circnek6,thyroid neoplasms,0.2442265883088112,0.1432682781760278,20,183
circnf1,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,184
circnr3c1,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,185
circnrip1,"carcinoma, renal cell",0.2442265883088112,0.1432682781760278,20,186
circnt5e,glioblastoma,0.2442265883088112,0.1432682781760278,20,187
circnup214,"thyroid cancer, papillary",0.2442265883088112,0.1432682781760278,20,188
circp4hb,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,189
circpan3,"leukemia, myeloid, acute",0.2442265883088112,0.1432682781760278,20,190
circpcnxl2,"carcinoma, renal cell",0.2442265883088112,0.1432682781760278,20,191
circpdss1,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,192
circpicalm,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,193
circplekhm3,ovarian neoplasms,0.2442265883088112,0.1432682781760278,20,194
circplk1,triple negative breast neoplasms,0.2442265883088112,0.1432682781760278,20,195
circprrc2a,"carcinoma, renal cell",0.2442265883088112,0.1432682781760278,20,196
circpsmc3,stomach neoplasms,0.2442265883088112,0.1432682781760278,20,197
circptgr1,"carcinoma, hepatocellular",0.2442265883088112,0.1432682781760278,20,198
circptn,glioma,0.2442265883088112,0.1432682781760278,20,199
circptpn22,"lupus erythematosus, systemic",0.2442265883088112,0.1432682781760278,20,200
circptpra,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,201
circptpra,urinary bladder neoplasms,0.2442265883088112,0.1432682781760278,20,202
circpvt1,adenocarcinoma of lung,0.2442265883088112,0.1432682781760278,20,203
circpvt1,"carcinoma, non-small-cell lung",0.2442265883088112,0.1432682781760278,20,204
circpvt1,colorectal neoplasms,0.2442265883088112,0.1432682781760278,20,205
circpvt1,esophageal neoplasms,0.2442265883088112,0.1432682781760278,20,206
circpvt1,lung neoplasms,0.2442265883088112,0.1432682781760278,20,207
circpvt1,osteosarcoma,0.2442265883088112,0.1432682781760278,20,208
